Test Case,Input,Start Time,End Time,Latency (s)
1,The Earth is the largest planet in the solar system,1729780268.3875022,1729780268.4021919,0.01468968391418457
1,The Earth is the largest planet in the solar system,1729780268.4022021,1729780268.416353,0.014150857925415039
1,The Earth is the largest planet in the solar system,1729780268.416364,1729780268.4308429,0.014478921890258789
1,The Earth is the largest planet in the solar system,1729780268.4308538,1729780268.445583,0.01472926139831543
1,The Earth is the largest planet in the solar system,1729780268.445594,1729780268.459907,0.014312982559204102
1,The Earth is the largest planet in the solar system,1729780268.459918,1729780268.474415,0.014497041702270508
1,The Earth is the largest planet in the solar system,1729780268.474425,1729780268.488673,0.014247894287109375
1,The Earth is the largest planet in the solar system,1729780268.488683,1729780268.502871,0.014188051223754883
1,The Earth is the largest planet in the solar system,1729780268.502883,1729780268.517368,0.01448512077331543
1,The Earth is the largest planet in the solar system,1729780268.517378,1729780268.5316658,0.014287710189819336
1,The Earth is the largest planet in the solar system,1729780268.531677,1729780268.545845,0.014168024063110352
1,The Earth is the largest planet in the solar system,1729780268.545855,1729780268.5606139,0.014758825302124023
1,The Earth is the largest planet in the solar system,1729780268.5606248,1729780268.5752141,0.014589309692382812
1,The Earth is the largest planet in the solar system,1729780268.575225,1729780268.58943,0.014204978942871094
1,The Earth is the largest planet in the solar system,1729780268.58944,1729780268.603692,0.014251947402954102
1,The Earth is the largest planet in the solar system,1729780268.603702,1729780268.61809,0.014387845993041992
1,The Earth is the largest planet in the solar system,1729780268.6181,1729780268.632303,0.014203071594238281
1,The Earth is the largest planet in the solar system,1729780268.632313,1729780268.688247,0.05593395233154297
1,The Earth is the largest planet in the solar system,1729780268.6882591,1729780268.71456,0.026300907135009766
1,The Earth is the largest planet in the solar system,1729780268.714572,1729780268.729556,0.014984130859375
1,The Earth is the largest planet in the solar system,1729780268.729567,1729780268.744384,0.014816999435424805
1,The Earth is the largest planet in the solar system,1729780268.744395,1729780268.758931,0.014535903930664062
1,The Earth is the largest planet in the solar system,1729780268.758942,1729780268.77355,0.014608144760131836
1,The Earth is the largest planet in the solar system,1729780268.773561,1729780268.791212,0.017651081085205078
1,The Earth is the largest planet in the solar system,1729780268.7912269,1729780268.808796,0.01756906509399414
1,The Earth is the largest planet in the solar system,1729780268.808807,1729780268.824885,0.01607799530029297
1,The Earth is the largest planet in the solar system,1729780268.824896,1729780268.8396091,0.014713048934936523
1,The Earth is the largest planet in the solar system,1729780268.8396192,1729780268.8536792,0.014060020446777344
1,The Earth is the largest planet in the solar system,1729780268.8536892,1729780268.867712,0.0140228271484375
1,The Earth is the largest planet in the solar system,1729780268.867838,1729780268.882025,0.014187097549438477
1,The Earth is the largest planet in the solar system,1729780268.882035,1729780268.896311,0.01427602767944336
1,The Earth is the largest planet in the solar system,1729780268.896322,1729780268.911382,0.015059947967529297
1,The Earth is the largest planet in the solar system,1729780268.911393,1729780268.926199,0.014806032180786133
1,The Earth is the largest planet in the solar system,1729780268.9262102,1729780268.9407349,0.014524698257446289
1,The Earth is the largest planet in the solar system,1729780268.940746,1729780268.954954,0.014207839965820312
1,The Earth is the largest planet in the solar system,1729780268.954964,1729780268.968885,0.013921022415161133
1,The Earth is the largest planet in the solar system,1729780268.968896,1729780268.983559,0.014662981033325195
1,The Earth is the largest planet in the solar system,1729780268.9835699,1729780268.9978828,0.014312982559204102
1,The Earth is the largest planet in the solar system,1729780268.9978938,1729780269.01314,0.015246152877807617
1,The Earth is the largest planet in the solar system,1729780269.013151,1729780269.027589,0.014438152313232422
1,The Earth is the largest planet in the solar system,1729780269.027599,1729780269.042175,0.014575958251953125
1,The Earth is the largest planet in the solar system,1729780269.042186,1729780269.056394,0.014208078384399414
1,The Earth is the largest planet in the solar system,1729780269.056405,1729780269.070818,0.014412879943847656
1,The Earth is the largest planet in the solar system,1729780269.070828,1729780269.0851068,0.014278888702392578
1,The Earth is the largest planet in the solar system,1729780269.085118,1729780269.0996501,0.014532089233398438
1,The Earth is the largest planet in the solar system,1729780269.099661,1729780269.114455,0.014793872833251953
1,The Earth is the largest planet in the solar system,1729780269.114466,1729780269.128649,0.01418304443359375
1,The Earth is the largest planet in the solar system,1729780269.128659,1729780269.143317,0.014657974243164062
1,The Earth is the largest planet in the solar system,1729780269.143327,1729780269.15768,0.014353036880493164
1,The Earth is the largest planet in the solar system,1729780269.1576908,1729780269.171987,0.014296293258666992
1,The Earth is the largest planet in the solar system,1729780269.1719968,1729780269.18627,0.01427316665649414
1,The Earth is the largest planet in the solar system,1729780269.186281,1729780269.2008052,0.014524221420288086
1,The Earth is the largest planet in the solar system,1729780269.2008152,1729780269.21573,0.014914751052856445
1,The Earth is the largest planet in the solar system,1729780269.215741,1729780269.229985,0.01424407958984375
1,The Earth is the largest planet in the solar system,1729780269.229995,1729780269.244705,0.014709949493408203
1,The Earth is the largest planet in the solar system,1729780269.244715,1729780269.2592251,0.014510154724121094
2,Thomas Edison invented the iPhone,1729780269.259237,1729780269.2736928,0.014455795288085938
2,Thomas Edison invented the iPhone,1729780269.273704,1729780269.2879941,0.014290094375610352
2,Thomas Edison invented the iPhone,1729780269.288005,1729780269.302277,0.014271974563598633
2,Thomas Edison invented the iPhone,1729780269.302287,1729780269.316532,0.014244794845581055
2,Thomas Edison invented the iPhone,1729780269.316542,1729780269.330889,0.014347076416015625
2,Thomas Edison invented the iPhone,1729780269.3309,1729780269.345126,0.014225959777832031
2,Thomas Edison invented the iPhone,1729780269.3451362,1729780269.359421,0.014284849166870117
2,Thomas Edison invented the iPhone,1729780269.359431,1729780269.374227,0.014796018600463867
2,Thomas Edison invented the iPhone,1729780269.374238,1729780269.388522,0.014283895492553711
2,Thomas Edison invented the iPhone,1729780269.388532,1729780269.403213,0.014681100845336914
2,Thomas Edison invented the iPhone,1729780269.403223,1729780269.417809,0.01458597183227539
2,Thomas Edison invented the iPhone,1729780269.4178188,1729780269.431963,0.014144182205200195
2,Thomas Edison invented the iPhone,1729780269.4319732,1729780269.445913,0.013939857482910156
2,Thomas Edison invented the iPhone,1729780269.445923,1729780269.460323,0.014400005340576172
2,Thomas Edison invented the iPhone,1729780269.460333,1729780269.474644,0.014310836791992188
2,Thomas Edison invented the iPhone,1729780269.474654,1729780269.489032,0.014378070831298828
2,Thomas Edison invented the iPhone,1729780269.489043,1729780269.503702,0.014658927917480469
2,Thomas Edison invented the iPhone,1729780269.503712,1729780269.518155,0.014443159103393555
2,Thomas Edison invented the iPhone,1729780269.5181649,1729780269.532373,0.014208078384399414
2,Thomas Edison invented the iPhone,1729780269.532383,1729780269.546958,0.014575004577636719
2,Thomas Edison invented the iPhone,1729780269.5469692,1729780269.5616279,0.014658689498901367
2,Thomas Edison invented the iPhone,1729780269.5616379,1729780269.576122,0.014484167098999023
2,Thomas Edison invented the iPhone,1729780269.576132,1729780269.590656,0.014523983001708984
2,Thomas Edison invented the iPhone,1729780269.590667,1729780269.6051798,0.014512777328491211
2,Thomas Edison invented the iPhone,1729780269.6051898,1729780269.619458,0.014268159866333008
2,Thomas Edison invented the iPhone,1729780269.6194692,1729780269.634071,0.014601945877075195
2,Thomas Edison invented the iPhone,1729780269.634082,1729780269.64837,0.014287948608398438
2,Thomas Edison invented the iPhone,1729780269.648381,1729780269.66281,0.014429092407226562
2,Thomas Edison invented the iPhone,1729780269.662821,1729780269.677276,0.014454841613769531
2,Thomas Edison invented the iPhone,1729780269.677286,1729780269.6918132,0.014527320861816406
2,Thomas Edison invented the iPhone,1729780269.691823,1729780269.706321,0.014497995376586914
2,Thomas Edison invented the iPhone,1729780269.7063308,1729780269.721123,0.014792203903198242
2,Thomas Edison invented the iPhone,1729780269.721133,1729780269.735866,0.014733076095581055
2,Thomas Edison invented the iPhone,1729780269.735876,1729780269.750453,0.014576911926269531
2,Thomas Edison invented the iPhone,1729780269.750463,1729780269.764918,0.014455080032348633
2,Thomas Edison invented the iPhone,1729780269.764928,1729780269.779427,0.01449894905090332
2,Thomas Edison invented the iPhone,1729780269.779436,1729780269.794267,0.014830827713012695
2,Thomas Edison invented the iPhone,1729780269.794278,1729780269.808973,0.014695167541503906
2,Thomas Edison invented the iPhone,1729780269.808983,1729780269.823528,0.014544963836669922
2,Thomas Edison invented the iPhone,1729780269.8235378,1729780269.837997,0.01445913314819336
2,Thomas Edison invented the iPhone,1729780269.838007,1729780269.852256,0.014249086380004883
2,Thomas Edison invented the iPhone,1729780269.852266,1729780269.866688,0.014421939849853516
2,Thomas Edison invented the iPhone,1729780269.866698,1729780269.881152,0.014453887939453125
2,Thomas Edison invented the iPhone,1729780269.881162,1729780269.895478,0.014316082000732422
2,Thomas Edison invented the iPhone,1729780269.895488,1729780269.909866,0.014378070831298828
2,Thomas Edison invented the iPhone,1729780269.9098759,1729780269.924254,0.014378070831298828
2,Thomas Edison invented the iPhone,1729780269.924264,1729780269.938644,0.01437997817993164
2,Thomas Edison invented the iPhone,1729780269.938654,1729780269.953061,0.014407157897949219
2,Thomas Edison invented the iPhone,1729780269.953071,1729780269.96739,0.01431894302368164
2,Thomas Edison invented the iPhone,1729780269.967401,1729780269.9817128,0.014311790466308594
2,Thomas Edison invented the iPhone,1729780269.9817238,1729780269.996201,0.014477252960205078
2,Thomas Edison invented the iPhone,1729780269.996212,1729780270.0114691,0.015257120132446289
2,Thomas Edison invented the iPhone,1729780270.0114791,1729780270.0259242,0.014445066452026367
2,Thomas Edison invented the iPhone,1729780270.025934,1729780270.040411,0.014477014541625977
2,Thomas Edison invented the iPhone,1729780270.040478,1729780270.054825,0.014347076416015625
2,Thomas Edison invented the iPhone,1729780270.054836,1729780270.0693812,0.014545202255249023
2,Thomas Edison invented the iPhone,1729780270.069392,1729780270.08374,0.014348030090332031
2,Thomas Edison invented the iPhone,1729780270.0837498,1729780270.09831,0.014560222625732422
2,Thomas Edison invented the iPhone,1729780270.0983198,1729780270.1128142,0.01449441909790039
2,Thomas Edison invented the iPhone,1729780270.1128252,1729780270.127249,0.014423847198486328
2,Thomas Edison invented the iPhone,1729780270.127258,1729780270.1419048,0.014646768569946289
2,Thomas Edison invented the iPhone,1729780270.1419148,1729780270.1564002,0.014485359191894531
2,Thomas Edison invented the iPhone,1729780270.1564102,1729780270.170783,0.014372825622558594
2,Thomas Edison invented the iPhone,1729780270.170793,1729780270.185322,0.014528989791870117
2,Thomas Edison invented the iPhone,1729780270.185332,1729780270.199635,0.014302968978881836
2,Thomas Edison invented the iPhone,1729780270.199646,1729780270.214252,0.014605998992919922
2,Thomas Edison invented the iPhone,1729780270.214262,1729780270.228742,0.014479875564575195
2,Thomas Edison invented the iPhone,1729780270.228752,1729780270.243763,0.015011072158813477
2,Thomas Edison invented the iPhone,1729780270.243773,1729780270.2585301,0.014757156372070312
2,Thomas Edison invented the iPhone,1729780270.258541,1729780270.272888,0.014346837997436523
2,Thomas Edison invented the iPhone,1729780270.272898,1729780270.287856,0.01495814323425293
2,Thomas Edison invented the iPhone,1729780270.287866,1729780270.302173,0.014306783676147461
2,Thomas Edison invented the iPhone,1729780270.3021839,1729780270.3165739,0.014389991760253906
2,Thomas Edison invented the iPhone,1729780270.316585,1729780270.330841,0.014256000518798828
2,Thomas Edison invented the iPhone,1729780270.330851,1729780270.345345,0.014493942260742188
2,Thomas Edison invented the iPhone,1729780270.345356,1729780270.3601851,0.014829158782958984
2,Thomas Edison invented the iPhone,1729780270.360196,1729780270.375011,0.01481485366821289
2,Thomas Edison invented the iPhone,1729780270.375021,1729780270.3893602,0.014339208602905273
2,Thomas Edison invented the iPhone,1729780270.3893702,1729780270.4035861,0.014215946197509766
2,Thomas Edison invented the iPhone,1729780270.403596,1729780270.4182668,0.014670848846435547
2,Thomas Edison invented the iPhone,1729780270.418278,1729780270.4325602,0.0142822265625
2,Thomas Edison invented the iPhone,1729780270.4325702,1729780270.4469728,0.014402627944946289
2,Thomas Edison invented the iPhone,1729780270.446984,1729780270.4613068,0.014322757720947266
2,Thomas Edison invented the iPhone,1729780270.4613178,1729780270.475831,0.014513254165649414
2,Thomas Edison invented the iPhone,1729780270.475841,1729780270.490271,0.014430046081542969
2,Thomas Edison invented the iPhone,1729780270.4902809,1729780270.5048509,0.014569997787475586
2,Thomas Edison invented the iPhone,1729780270.5048609,1729780270.519531,0.014670133590698242
2,Thomas Edison invented the iPhone,1729780270.519542,1729780270.5337348,0.014192819595336914
2,Thomas Edison invented the iPhone,1729780270.533746,1729780270.548207,0.014461040496826172
2,Thomas Edison invented the iPhone,1729780270.548218,1729780270.562528,0.014309883117675781
2,Thomas Edison invented the iPhone,1729780270.56254,1729780270.5770838,0.014543771743774414
2,Thomas Edison invented the iPhone,1729780270.5770938,1729780270.591695,0.01460123062133789
2,Thomas Edison invented the iPhone,1729780270.591706,1729780270.606334,0.014627933502197266
2,Thomas Edison invented the iPhone,1729780270.606344,1729780270.62083,0.014486074447631836
2,Thomas Edison invented the iPhone,1729780270.620841,1729780270.63539,0.014549016952514648
2,Thomas Edison invented the iPhone,1729780270.635401,1729780270.6498299,0.014428853988647461
2,Thomas Edison invented the iPhone,1729780270.6498408,1729780270.664137,0.01429605484008789
2,Thomas Edison invented the iPhone,1729780270.6641479,1729780270.678654,0.014506101608276367
2,Thomas Edison invented the iPhone,1729780270.678664,1729780270.693232,0.014568090438842773
2,Thomas Edison invented the iPhone,1729780270.693242,1729780270.7077382,0.014496088027954102
3,Christmas is in December,1729780270.7077498,1729780270.722281,0.014531135559082031
3,Christmas is in December,1729780270.722291,1729780270.7368681,0.014577150344848633
3,Christmas is in December,1729780270.7368782,1729780270.75154,0.014661788940429688
3,Christmas is in December,1729780270.751551,1729780270.7662761,0.014725208282470703
3,Christmas is in December,1729780270.7662878,1729780270.7809,0.014612197875976562
3,Christmas is in December,1729780270.78091,1729780270.7967439,0.01583385467529297
3,Christmas is in December,1729780270.796754,1729780270.811241,0.014487028121948242
3,Christmas is in December,1729780270.81125,1729780270.825841,0.014590978622436523
3,Christmas is in December,1729780270.825851,1729780270.8402429,0.014391899108886719
3,Christmas is in December,1729780270.8402529,1729780270.854607,0.014354228973388672
3,Christmas is in December,1729780270.854617,1729780270.868921,0.014303922653198242
3,Christmas is in December,1729780270.868931,1729780270.931672,0.06274104118347168
3,Christmas is in December,1729780270.931735,1729780270.947058,0.01532292366027832
3,Christmas is in December,1729780270.947068,1729780270.961802,0.014734029769897461
3,Christmas is in December,1729780270.961812,1729780270.976348,0.014535903930664062
3,Christmas is in December,1729780270.976358,1729780270.990984,0.014626026153564453
3,Christmas is in December,1729780270.990994,1729780271.00607,0.015075922012329102
3,Christmas is in December,1729780271.006079,1729780271.021975,0.015896081924438477
3,Christmas is in December,1729780271.021986,1729780271.0366101,0.01462411880493164
3,Christmas is in December,1729780271.036619,1729780271.0509691,0.014350175857543945
3,Christmas is in December,1729780271.0509791,1729780271.065195,0.014215946197509766
3,Christmas is in December,1729780271.065205,1729780271.079576,0.014370918273925781
3,Christmas is in December,1729780271.079586,1729780271.0938199,0.014233827590942383
3,Christmas is in December,1729780271.0938299,1729780271.108617,0.01478719711303711
3,Christmas is in December,1729780271.1086268,1729780271.1231802,0.014553308486938477
3,Christmas is in December,1729780271.123189,1729780271.137744,0.014554977416992188
3,Christmas is in December,1729780271.137753,1729780271.1523788,0.014625787734985352
3,Christmas is in December,1729780271.152388,1729780271.166751,0.014362812042236328
3,Christmas is in December,1729780271.166761,1729780271.181443,0.01468205451965332
3,Christmas is in December,1729780271.181452,1729780271.196387,0.014935016632080078
3,Christmas is in December,1729780271.1963992,1729780271.2111738,0.014774560928344727
3,Christmas is in December,1729780271.211184,1729780271.226125,0.014940977096557617
3,Christmas is in December,1729780271.226135,1729780271.2411258,0.014990806579589844
3,Christmas is in December,1729780271.241136,1729780271.256222,0.015085935592651367
3,Christmas is in December,1729780271.2562308,1729780271.270763,0.014532089233398438
3,Christmas is in December,1729780271.270773,1729780271.285651,0.014878034591674805
3,Christmas is in December,1729780271.285661,1729780271.3001878,0.014526844024658203
3,Christmas is in December,1729780271.3001978,1729780271.3146849,0.014487028121948242
3,Christmas is in December,1729780271.314695,1729780271.329142,0.014447212219238281
3,Christmas is in December,1729780271.329152,1729780271.3438778,0.014725685119628906
3,Christmas is in December,1729780271.3438878,1729780271.358482,0.014594078063964844
3,Christmas is in December,1729780271.358492,1729780271.373355,0.014863014221191406
3,Christmas is in December,1729780271.373365,1729780271.3877828,0.014417886734008789
3,Christmas is in December,1729780271.3877928,1729780271.402334,0.014541149139404297
3,Christmas is in December,1729780271.402344,1729780271.4167092,0.014365196228027344
3,Christmas is in December,1729780271.4167738,1729780271.43117,0.014396190643310547
3,Christmas is in December,1729780271.43118,1729780271.445796,0.014616012573242188
3,Christmas is in December,1729780271.445806,1729780271.460452,0.014646053314208984
3,Christmas is in December,1729780271.460462,1729780271.4753668,0.01490473747253418
3,Christmas is in December,1729780271.475378,1729780271.490363,0.014984846115112305
3,Christmas is in December,1729780271.4903731,1729780271.505259,0.014885902404785156
3,Christmas is in December,1729780271.505269,1729780271.520498,0.015228986740112305
3,Christmas is in December,1729780271.5205078,1729780271.535077,0.014569282531738281
3,Christmas is in December,1729780271.535087,1729780271.549514,0.014426946640014648
3,Christmas is in December,1729780271.549524,1729780271.563956,0.014431953430175781
3,Christmas is in December,1729780271.563966,1729780271.578449,0.014482975006103516
3,Christmas is in December,1729780271.5784588,1729780271.592711,0.014252185821533203
3,Christmas is in December,1729780271.5927198,1729780271.607182,0.01446223258972168
3,Christmas is in December,1729780271.607191,1729780271.62164,0.014448881149291992
3,Christmas is in December,1729780271.62165,1729780271.636023,0.014373064041137695
3,Christmas is in December,1729780271.636033,1729780271.650709,0.01467585563659668
3,Christmas is in December,1729780271.650718,1729780271.665163,0.014445066452026367
3,Christmas is in December,1729780271.665173,1729780271.679945,0.01477193832397461
3,Christmas is in December,1729780271.6799538,1729780271.694549,0.014595270156860352
3,Christmas is in December,1729780271.69456,1729780271.7093709,0.014810800552368164
3,Christmas is in December,1729780271.709381,1729780271.72398,0.014598846435546875
3,Christmas is in December,1729780271.72399,1729780271.738622,0.014631986618041992
3,Christmas is in December,1729780271.738632,1729780271.753,0.014368057250976562
3,Christmas is in December,1729780271.75301,1729780271.767243,0.014232873916625977
3,Christmas is in December,1729780271.767253,1729780271.781815,0.014562129974365234
3,Christmas is in December,1729780271.781824,1729780271.797023,0.015198945999145508
3,Christmas is in December,1729780271.797034,1729780271.812115,0.015080928802490234
3,Christmas is in December,1729780271.812125,1729780271.8271391,0.015014171600341797
3,Christmas is in December,1729780271.8271492,1729780271.844172,0.01702284812927246
3,Christmas is in December,1729780271.844182,1729780271.859026,0.014843940734863281
3,Christmas is in December,1729780271.859036,1729780271.874527,0.015491008758544922
3,Christmas is in December,1729780271.874537,1729780271.889189,0.014652013778686523
3,Christmas is in December,1729780271.889199,1729780271.903821,0.014621973037719727
3,Christmas is in December,1729780271.903831,1729780271.9183831,0.014552116394042969
3,Christmas is in December,1729780271.9183931,1729780271.932819,0.01442575454711914
3,Christmas is in December,1729780271.932829,1729780271.9473999,0.014570951461791992
3,Christmas is in December,1729780271.947409,1729780271.962058,0.014649152755737305
3,Christmas is in December,1729780271.962067,1729780271.976712,0.014645099639892578
3,Christmas is in December,1729780271.976723,1729780271.9916239,0.014900922775268555
3,Christmas is in December,1729780271.991634,1729780272.006502,0.014868021011352539
3,Christmas is in December,1729780272.0065122,1729780272.021379,0.014866828918457031
3,Christmas is in December,1729780272.02139,1729780272.036042,0.014652013778686523
3,Christmas is in December,1729780272.036053,1729780272.050869,0.014816045761108398
3,Christmas is in December,1729780272.050879,1729780272.065734,0.014854907989501953
3,Christmas is in December,1729780272.0657432,1729780272.080329,0.014585733413696289
3,Christmas is in December,1729780272.080339,1729780272.0952919,0.014952898025512695
3,Christmas is in December,1729780272.0953019,1729780272.110093,0.014791250228881836
3,Christmas is in December,1729780272.1101031,1729780272.124727,0.014623880386352539
3,Christmas is in December,1729780272.124737,1729780272.139255,0.014518022537231445
3,Christmas is in December,1729780272.139265,1729780272.153633,0.014368057250976562
3,Christmas is in December,1729780272.153643,1729780272.1680892,0.014446258544921875
3,Christmas is in December,1729780272.1680992,1729780272.182508,0.01440882682800293
3,Christmas is in December,1729780272.182518,1729780272.1970491,0.014531135559082031
3,Christmas is in December,1729780272.197058,1729780272.2116852,0.014627218246459961
3,Christmas is in December,1729780272.2116952,1729780272.22637,0.014674901962280273
4,There are 24 hours in a day,1729780272.226382,1729780272.2411149,0.014732837677001953
4,There are 24 hours in a day,1729780272.241125,1729780272.2556942,0.01456904411315918
4,There are 24 hours in a day,1729780272.2557042,1729780272.270161,0.014456748962402344
4,There are 24 hours in a day,1729780272.2701719,1729780272.2847319,0.01455998420715332
4,There are 24 hours in a day,1729780272.2847419,1729780272.299354,0.014612197875976562
4,There are 24 hours in a day,1729780272.2993631,1729780272.314486,0.01512289047241211
4,There are 24 hours in a day,1729780272.314495,1729780272.329035,0.014539957046508789
4,There are 24 hours in a day,1729780272.329045,1729780272.3442209,0.015175819396972656
4,There are 24 hours in a day,1729780272.344231,1729780272.3588312,0.014600276947021484
4,There are 24 hours in a day,1729780272.3588412,1729780272.3737578,0.014916658401489258
4,There are 24 hours in a day,1729780272.3737679,1729780272.3883488,0.014580965042114258
4,There are 24 hours in a day,1729780272.3883588,1729780272.4031842,0.01482534408569336
4,There are 24 hours in a day,1729780272.403195,1729780272.4177139,0.014518976211547852
4,There are 24 hours in a day,1729780272.417724,1729780272.4323971,0.014673233032226562
4,There are 24 hours in a day,1729780272.4324071,1729780272.4469728,0.014565706253051758
4,There are 24 hours in a day,1729780272.446984,1729780272.461844,0.014859914779663086
4,There are 24 hours in a day,1729780272.461854,1729780272.4766731,0.014819145202636719
4,There are 24 hours in a day,1729780272.476683,1729780272.4913778,0.014694929122924805
4,There are 24 hours in a day,1729780272.4913878,1729780272.50611,0.014722108840942383
4,There are 24 hours in a day,1729780272.50612,1729780272.520917,0.014796972274780273
4,There are 24 hours in a day,1729780272.520927,1729780272.535605,0.014678001403808594
4,There are 24 hours in a day,1729780272.535616,1729780272.550016,0.014400005340576172
4,There are 24 hours in a day,1729780272.550026,1729780272.564538,0.014512062072753906
4,There are 24 hours in a day,1729780272.564548,1729780272.57938,0.014832019805908203
4,There are 24 hours in a day,1729780272.5793889,1729780272.594374,0.014985084533691406
4,There are 24 hours in a day,1729780272.594384,1729780272.609232,0.014847993850708008
4,There are 24 hours in a day,1729780272.609241,1729780272.62414,0.014899015426635742
4,There are 24 hours in a day,1729780272.62415,1729780272.639012,0.014862060546875
4,There are 24 hours in a day,1729780272.639022,1729780272.653513,0.014490842819213867
4,There are 24 hours in a day,1729780272.653524,1729780272.668284,0.014760017395019531
4,There are 24 hours in a day,1729780272.668294,1729780272.683081,0.014786958694458008
4,There are 24 hours in a day,1729780272.683091,1729780272.697827,0.014736175537109375
4,There are 24 hours in a day,1729780272.697837,1729780272.712447,0.014609813690185547
4,There are 24 hours in a day,1729780272.712457,1729780272.72717,0.014713048934936523
4,There are 24 hours in a day,1729780272.72718,1729780272.7420669,0.014886856079101562
4,There are 24 hours in a day,1729780272.7420769,1729780272.756711,0.014634132385253906
4,There are 24 hours in a day,1729780272.7567208,1729780272.771265,0.014544248580932617
4,There are 24 hours in a day,1729780272.771276,1729780272.786103,0.01482701301574707
4,There are 24 hours in a day,1729780272.786113,1729780272.800944,0.014831066131591797
4,There are 24 hours in a day,1729780272.801006,1729780272.816728,0.015722036361694336
4,There are 24 hours in a day,1729780272.8167381,1729780272.831284,0.014545917510986328
4,There are 24 hours in a day,1729780272.831294,1729780272.8458781,0.014584064483642578
4,There are 24 hours in a day,1729780272.845888,1729780272.86056,0.014672040939331055
4,There are 24 hours in a day,1729780272.8605702,1729780272.875474,0.014903783798217773
4,There are 24 hours in a day,1729780272.875485,1729780272.89009,0.014605045318603516
4,There are 24 hours in a day,1729780272.8901,1729780272.9048572,0.014757156372070312
